Shloka Number,Title,Head Word,Sub-Head Word,Synonyms,Rasa,Guna,Virya,Vipaka,Karma,,,,
,,नवं,,,स्वादु,गुरु,,,श्लेष्मकर,,,"धान्यं सर्वं नवं स्वादु गुरु श्लेष्मकरं स्मृतम् |

तत्तु वर्षोषितं पथ्यं यतो लघुतरं हि तम् ||७५||
",
,,वर्षोषितं,,,,,,,"पथ्य, लघुतर",,,"धान्यं सर्वं नवं स्वादु गुरु श्लेष्मकरं स्मृतम् |

तत्तु वर्षोषितं पथ्यं यतो लघुतरं हि तम् ||७५||
",
,,वर्षोषितं,,,,,,,सर्वधान्यं गौरवपरिमुञ्चति,,,"वर्षोषितं सर्वधान्यं गौरवं परिमुञ्चति |

न तु त्यजति वीर्यं स्वं क्रमान्मुञ्चत्यतः परम् ||७६||

",
,,नवा यवगोधूमतिलमाषा,,,,,,,हिताः,,,"एतेषु यवगोधूमतिलमाषा नवा हिताः |

पुराणा विरसा रूक्षा न तथा गुणकारिणः ||७७||",
,,पुराणा,,,,,,,"विरसा, रूक्षा, न तथा गुणकारिणाः",,,"एतेषु यवगोधूमतिलमाषा नवा हिताः |

पुराणा विरसा रूक्षा न तथा गुणकारिणः ||७७||",
,,,,,,,,,,,,,
1,तत्र शाकनिरूपणमाह,,,,,,,,,"पत्रं पुष्पं फलं नालं कन्दं संस्वेदजं तथा |

शाकं षड्विधमुद्दिष्टं गुरुं विद्याद्यथोत्तरम् ||१||",,,
2-4,अथ शाकानां गुणानाह,,,,,"गुरूणि, रूक्षाणि",,,"विष्टम्भीनि, बहुवर्चासि, सृष्टविण्मारुतानि, प्रज्ञाक्षय, स्मृतिहर ","प्रायः शाकानि सर्वाणि विष्टम्भीनि गुरूणि च |	
	
रूक्षाणि बहुवर्चांसि सृष्टविण्मारुतानि च ||२||	
	
शाकं भिनत्ति वपुरस्थि निहन्ति नेत्रं वर्णं विनाशयति रक्तमथापि शुक्रम् |	
	
प्रज्ञाक्षयं च कुरुते पलितं च नूनं हन्ति स्मृतिं गतिमिति प्रवदन्ति तज्ज्ञाः ||३||	
	
शाकेषु सर्वेषु वसन्ति रोगास्ते हेतवो देहविनाशनाय |	
	
तस्माद् बुधः शाकविवर्जनं तु कुर्यात्तथाम्लेषु स एव दोषः ||४||	",,,
5-7,अथ शाकेषु विशिष्टानि । पत्र शाकानि।  तत्रापि वास्तूकद्वयम्। तस्या नामानि गुणाँश्चाह,"पत्रशाकानि, वास्तूकद्वयम्",,"वास्तूक, वास्तुक, क्षारपत्र, शाकराट् ","स्वादु, क्षार, ",लघु,,कटु,"दीपन, पाचन, रुच्य, शुक्र-बलप्रद, सर, प्लीह-अस्र-पित्त-आर्शः-कृमि-दोषत्रयापह","वास्तूकं वास्तुकं च स्यात्क्षारपत्रं च शाकराट् |

तदेव तु बृहत्पत्रं रक्तं स्याद् गौडवास्तुकम् |

प्रायशो यवमध्ये स्याद्यवशाकमतः स्मृतम् ||५||

वास्तूकद्वितयं स्वादु क्षारं पाके कटूदितम् |

दीपनं पाचनं रुच्यं लघु शुक्रबलप्रदम् |

सरं प्लीहास्रपित्तार्शःकृमिदोषत्रयापहम् ||६||",,,
8-9,अथ पोतकी।  तस्या नामगुणानाह,पोतकी,,"पोतकी, उपोदिका, मालवा, अमृतवल्लरी  ",,स्निग्धा,शीतला,,"श्लेष्मला, वातपित्तनुत्, अकण्ठ्या, पिच्छिला, निद्राशुक्रदा, रक्तपित्तजित्, बलदा, रुचिकृत्, पथ्या, बृंहणी, तृप्तिकारिणी","पोतक्युपोदिका सा तु मालवाऽमृतवल्लरी |

पोतकी शीतला स्निग्धा श्लेष्मला वातपित्तनुत् |

अकण्ठ्या पिच्छिला निद्राशुक्रदा रक्तपित्तजित् |

बलदा रुचिकृत्पथ्या बृंहणी तृप्तिकारिणी ||७||",,,
10-11,अथ श्वेतरक्तमारिषौ।  तयोर्नामानि गुणाँश्चाह,श्वेतरक्तमारिषौ,,"मारिष, वाष्पक, मार्ष ",,,,,,"मारिषो बाष्पको मार्षः श्वेतो रक्तश्च स स्मृतः |

मारिषो मधुरः शीतो विष्टम्भी पित्तनुद् गुरुः |

वातश्लेष्मकरो रक्तपित्तनुद्विषमाग्निजित् ||८||

रक्तमार्षो गुरुर्नातिसक्षारो मधुरः सरः |

श्लेष्मलः कटुकः पाके स्वल्पदोष उदीरितः ||९||",,,
,,,श्वेतम्,,मधुर,गुरु,शीत,,"विष्टम्भी, पित्तनुत्, वात-श्लेष्मकर, रक्त-पित्तनुत्, विषमाग्निजित्",,,,
,,,रक्तम्,,"क्षार, मधुर, ",गुरु,,कटु,"सर, श्लेष्मल, स्वल्पदोष",,,,
12-13,अथ तण्डुलीयः।  तस्या नामगुणानाह,तण्डुलीयः,,"तण्डुलीय, मेघनाद, काण्डेर, तण्डुलेरक, भण्डीर, तण्डुलीबीज, विषघ्न, अल्पमारिष ",,"रूक्ष, लघु",शीत,,"पित्त-कफा-अस्रजित्, सृष्टमूत्रमल, रुच्य, दीपन, विषहारक","तण्डुलीयो मेघनादः काण्डेरस्तण्डुलेरकः |

भण्डीरस्तण्डुलीबीजो विषघ्नश्चाल्पमारिषः ||१०||

तण्डुलीयो लघुः शीतो रूक्षः पित्तकफास्रजित् |

सृष्टमूत्रमलो रुच्यो दीपनो विषहारकः |",,,
14,अथ पानीयतण्डुलीयम्। तस्य नामगुणानाह,पानीयतण्डुलीयम्,,"पानीयतण्डुलीय, जलतण्डुलीय, कञ्चट ",तिक्त,लघु,,,रक्त-पित्त-अनिलहर,"पानीयं तण्डुलीयं तु कचटं समुदाहृतम् |

कचटं तिक्तकं रक्तपित्तानिलहरं लघु ||११||",,,
15,अथ पलक्या। तस्या नामानि गुणाँश्चाह,पलक्या,,"पलक्या, वास्तुकाकारा, छुरिका, चीरितच्छदा ",,गुरु,शीता,,"वातला, श्मेष्मला, भेदिनी, विष्टम्भिनी, मद-श्वास-पित्त-रक्त-कफा-पहा","पालक्या वास्तुकाकारा छुरिका चीरितच्छदा |

पालक्या वातला शीता श्लेष्मला भेदिनी गुरुः |

विष्टम्भिनी मदश्वासपित्तरक्तकफापहा ||१२||",,,
16,अथ कालशाकम् । तस्या नामगुणानाह,कालशाकम्,,"नाडिक, कालशाक, श्राद्धशाक, कालक",,,शीत,,"सर, रुच्य, वातकृत्, कफशोथहृत्, बल्य, रुचिकर, मेध्य, रक्तपित्तहर","नाडिकं कालशाकं च श्राद्धशाकं च कालकम् |

कालशाकं सरं रुच्यं वातकृत्कफशोथहृत् |

बल्यं रुचिकरं मेध्यं रक्तपित्तहरं हिमम् ||१३||",,,
17,अथ पट्टशाकः । तस्य नामानि गुणाँश्चाह,पट्टशाकः,,"पट्टशाक, नाडीक, नाडीशाक",,,,,"रक्तपित्तघ्न, विष्टम्भ, वातकोपन","पट्टशाकस्तु नाडीको नाडीशाकश्च स स्मृतः |

नाडीको रक्तपित्तघ्नो विष्टम्भो वातकोपनः ||१४||",,,
18,अथ कलम्बी। तस्या नामगुणानाह,कलम्बी,,"कलम्बी, शतपर्वी ",मधुरा,,,,"स्तन्यदा, शुक्रकारिणी","कलम्बी शतपर्वी च कथ्यन्ते तद्गुणा अथ |

कलम्बी स्तन्यदा प्रोक्ता मधुरा शुक्रकारिणी ||१५||",,,
19-21,अथ लोणी बृहल्लोणी च तयोर्नामगुणानाह,"लोणी, बृहल्लोणी",,"लोणा, लोणी, घोटिका ",,,,,,"लोणा लोणी च कथिता बृहल्लोणी तु घोटिका |

लोणी रूक्षा स्मृता गुर्वी वातश्लेष्महरी पटुः |

अर्शोघ्नी दीपनी चाम्ला मन्दाग्निविषनाशिनी ||१६||

घोटिकाऽम्ला सरा चोष्णा वातकृत्कफपित्तहृत् |

वाग्दोषव्रणगुल्मघ्नी श्वासकासप्रमेहनुत् |

शोथलोचनरोगे च हिता तज्ज्ञैरुदाहृता ||१७||",,,
,,,लोणी,"लोणा, लोणी, ",अम्ला,"रूक्षा, गुर्वी",,,"वात-श्लेष्म-हरी, पटु, अर्शोघ्नी, दीपनी, मन्दाग्निविषनाशिनी",,,,
,,,घोटिका ,"बृहल्लोणी, घोटिका ",अम्ला,,उष्णा,,"सरा, वातकृत् कफ-पित्तहृत्, वाग्दोष-व्रण-गुल्मघ्नी, श्वास-कास-प्रमेहनुत्, शोथ-लोचनरोगहिता",,,,
22-23,अथ चाङ्गेरी । तस्य नामानि गुणाँश्चाह,चाङ्गेरी,,"चाङ्गेरी, चुक्रिका, दन्तशठा, अम्बष्ठा, अम्ललोणिका, अश्मन्तक, शफरी, कुशली, अम्लपत्रक ",अम्ला,रूक्ष,उष्णा,,"दीपनी, रुच्या, कफवातनुत्, पित्तला, ग्रहणी, अर्शः-कुष्ठा-अतीसारनाशिनी","चाङ्गेरी चुक्रिका दन्तशठाम्बष्ठाऽम्ललोणिका |

अश्मन्तकस्तु शफरी पिसली चाम्लपत्रका ||१८||

चाङ्गेरी दीपनी रुच्या रूक्षोष्णा कफवातनुत् |

पित्तलाऽम्ला ग्रहण्यर्शःकुष्ठातीसारनाशिनी ||१९||",,,
24-25,अथ चुक्रिका।  तस्या नामगुणानाह,चुक्रिका,,"चुक्रिका, पत्राम्ला, रोचनी, शतवेधिनी ",अम्ला,,,,"रोचनी, शतवेधिनी, अम्लतरा, स्वाद्वी, वातघ्नी, कफ-पित्तकृत्, रुच्या, लघुतरा, वृन्ताकातिरोचनी","चुक्रिका स्यात्तु पत्राम्ला रोचनी शतवेधिनी |

चुक्रा त्वम्लतरा स्वाद्वी वातघ्नी कफपित्तकृत् |

रुच्या लघुतरा पाके वृन्ताकेनातिरोचनी ||२०||",,,
26,अथ चञ्चुकी। तस्या नामगुणानाह,चञ्चुकी,,"चिञ्चा, चञ्चु, चञ्चुकी दीर्घपत्रा, सतिक्तका  ",,पिच्छिलका,शीता,,"सरा, रुच्या, स्वाद्वी, दोषत्रयापहा, धातुपुष्टिकरी, बल्या, मेध्या, पिच्छिलका","चिञ्चा चञ्चुश्चञ्चुकी च दीर्घपत्रा सतिक्तका |

चञ्चुः शीता सरा रुच्या स्वाद्वी दोषत्रयापहा |

धातुपुष्टिकरी बल्या मेध्या पिच्छिलका स्मृता ||२१||",,,
27,अथ हिलमोचिका।  तस्या नामगुणानाह,हिलमोचिका,,"ब्राह्मी, शङ्खधरा, आचारी, मत्स्याक्षी, हिलमोचिका ",,,,,शोथ-कुष्ठ-कफ-पित्तहर,"ब्राह्मी शङ्खधराऽऽचारी ब्राह्मी च हिलमोचिका |

शोथं कुष्ठं कफं पित्तं हरते हिलमोचिका ||२२||",,,
28-31,अथ शितिवारः।  तस्य नामलक्षणगुणानाह,शितिवारः,,"शितिवार, शितिवर, स्वस्तिक, सुनिषण्णक, श्रीवारक, सूचिपत्र, पर्णक, कुक्कुट, शिखी ","स्वादु, कषाय","लघु, रूक्ष",शीत,,"ग्राही, मेदो-दोषत्रयापह, अविदाही, दीपन, वृष्य, रुच्यो, ज्वर-श्वास-मेह-कुष्ठ-भ्रमप्रणुत्","शितिवारः शितिवरः स्वस्तिकः सुनिषण्णकः |

श्रीवारकः सूचिपत्रः पर्णकः कुक्कुटः शिखी ||२३||

चाङ्गेरीसदृशः पत्रैश्चतुर्दल इतीरितः |

शाको जलान्वितो देशे चतुष्पत्रीति चोच्यते ||२४||

सुनिषण्णो हिमो ग्राही मोहदोषत्रयापहः |

अविदाही लघुः स्वादुः कषायो रूक्षदीपनः |

वृष्यो रुच्यो ज्वरश्वासमेहकुष्ठभ्रमप्रणुत् ||२५||",,,
32,अथ मूलकपत्रम्।  तस्य गुणानाह,मूलकपत्रम्,,,,"लघु, उष्ण ",,,"पाचन, रुच्योष्ण, मूलकज, स्नेहसिद्ध-त्रिदोषघ्न, असिद्ध-कफ-पित्तकृत्","पाचनं लघुः रुच्योष्णं पत्रं मूलकजं नवम् |

स्नेहसिद्धं त्रिदोषघ्नमसिद्धं कफपित्तकृत् ||२६||",,,
33,अथ द्रोणपुष्पी पत्रम्।  तस्य गुणानाह,द्रोणपुष्पी पत्रम्,,,"कटु, स्वादु","रूक्ष, गुरु",,,"पित्तकृत्, भेदन, कामला-शोथ-मेह-ज्वरहर","द्रोणपुष्पीदलं स्वादु रूक्षं गुरु च पित्तकृत् |

भेदनं कामलाशोथमेहज्वरहरं कटु ||२७||",,,
34,अथ यवानीशाकम्।  तस्य गुणानाह,यवानीशाकम्,,,"कटु, तिक्त,",लघु,उष्ण,,"आग्नेय, रुच्य, वात-कफ-प्रणुत्, पित्तल, शूलहृत्","यवानीशाकमाग्नेयं रुच्यं वातकफप्रणुत् |

उष्णं कटु च तिक्तं च पित्तलं लघुशूलहृत् ||२८||",,,
35,अथ दद्रुघ्नपत्रम्।  तस्या गुणानाह,दद्रुघ्नपत्रम्,,,अम्ल,लघु,,,"दोषघ्न, वात-कफापह, कण्डू-कास-क्रिमि-श्वास-दद्रु-कुष्ठप्रणुत्","दद्रुघ्नपत्रं दोषघ्नमस्रवातकफापहम् |

कण्डूकासक्रिमिश्वासदद्रुकुष्ठप्रणुल्लघु ||२९||",,,
36,अथ सेहुण्डः। तत्पत्रस्य गुणानाह,सेहुण्डः,,,,तीक्ष्ण,,,"दीपन, रेचन, आध्मान-अष्ठीलिका-गुल्म-शूल-शोथोदराहर","सेहुण्डस्य दलं तीक्ष्णं दीपनं रोचनं हरेत् |

आध्मानाष्ठीलिकागुल्मशूलशोथोदराणि च ||३०||",,,
37,अथ पर्पटः। तत्पत्रस्य गुणानाह,पर्पटः,,,तिक्त,लघु,शीतल,,"पित्ता-अस्र-ज्वर-तृष्णा-कफ-भ्रमहर, संग्राही, दाहनुत्, वातल","पर्पटो हन्ति पित्तास्रज्वरतृष्णाकफभ्रमान् |

संग्राही शीतलस्तिक्तो दाहनुद्वातलो लघु ||३१||",,,
38,अथ गोजिह्वा।  तस्या गुणानाह,गोजिह्वा,,,,लघु,,,कुष्ठ-मेहा-अस्र-कृच्छ्र-ज्वरहरी,गोजिह्वा कुष्ठमेहास्रकृच्छ्रज्वरहरी लघुः ||३२||,,,
39,अथ पटोलपत्रम्। तस्य गुणानाह,पटोलपत्रम्,,,,"लघु, स्निग्ध",उष्ण,,"पित्तघ्न, दीपन, पाचन, वृष्य, ज्वर-कास-क्रिमि-प्रणुत्","पटोलपत्रं पित्तघ्नं दीपनं पाचनं लघु |

स्निग्धं वृष्यं तथोष्णं च ज्वरकासक्रिमिप्रणुत् ||३३||",,,
40-41,अथ गुडूचीपत्रम्।  तस्या गुणानाह,गुडुचीपत्रम्,,,"कषाय, कटु, तिक्त, ",लघु,उष्ण,स्वादु,"आग्नेय, सर्वज्वरहर, रसायन, बल्य, संग्राहि, दोषत्रयहर, तृषा-दाह-प्रमेह-वाता-असृक्-कामला-कुष्ठ-पाण्डुतापह","गुडूचीपत्रमाग्नेयं सर्वज्वरहरं लघु |

कषायं कटु तिक्तं च स्वादुपाकं रसायनम् ||३४||

बल्यमुष्णं च संग्राहि हन्याद्दोषत्रयं तृषाम् |

दाहप्रमेहवातासृक्कामलाकुष्ठपाण्डुताः ||३५||",,,
42-43,अथ कासमर्दः।  तस्य नामानि तत्पत्रस्य गुणांश्चाह,कासमर्दः,,"कासमर्द, अरिमर्द, कासारि, कर्कश",मधुर,लघु,,,"रुच्य, वृष्य, कास-विषा-अस्रनुत्, कफ-वातघ्न, पाचन, कण्ठशोधन, विशेषकासहर, पित्तघ्न, ग्राहक","कासमर्दोऽरिमर्दश्च कासारिः कर्कशस्तथा |

कासमर्ददलं रुच्यं वृष्यं कासविषास्रनुत् |

मधुरं कफवातघ्नं पाचनं कण्ठशोधनम् |

विशेषतः कासहरं पित्तघ्नं ग्राहकं लघु ||३६||",,,
44,अथ चणकशाकम्।  तस्य गुणानाह,चणकशाकम्,,,अम्ल,,,,"रुच्य, दुर्जर, कफ-वातकृत्, विष्टम्भजनक, पित्तनुत्, दृन्तशोथहृत्","रुच्यं चणकशाकं स्याद् दुर्जरं कफवातकृत् |

अम्लं विष्टम्भजनकं पित्तनुद्दन्तशोथहृत् ||३७||",,,
45,अथ कलायशाकम्। तस्य गुणानाह,कलायशाकम्,,,तिक्त,लघु,,,"भेदि, त्रिदोषजित्",कलायशाकं भेदि स्याल्लघु तिक्तं त्रिदोषजित् ||३८||,,,
46,अथ सार्षपं शाकम्।  तस्य गुणानाह,सर्षपं शाकम्,,,"स्वादु, कटु, सक्षारलवणं ","गुरु, रूक्ष, तीक्ष्ण, ",उष्ण,अम्ल,"बहुमूत्रमल, विदाहि, त्रिदोषकृत्, सक्षारलवण, शाकनिन्दित","कटुकं सार्षपं शाकं बहुमूत्रमलं गुरु |

अम्लपाकं विदाहि स्यादुष्णं रूक्षं त्रिदोषजित् |

सक्षारलवणं तीक्ष्णं स्वादु शाकेषु निन्दितम् ||३९||",,,
47,अथ पुष्पशाकानि।  तत्रागस्तिपुष्पस्य गुणानाह,"पुष्पशाकानि, अगस्तिपुष्पम्",,,"तिक्त, कषाय, ,",,शीत,कटु,"चातुर्थिकनिवारण, नक्तान्ध्यनाशन, पीनस-श्लेष्म-पित्तघ्न, वातघ्न","अगस्तिकुसुमं शीतं चातुर्थिकनिवारणम् |

नक्तान्ध्यनाशनं तिक्तं कषायं कटुपाकि च |

पीनसश्लेष्मपित्तघ्नं वातघ्नं मुनिभिर्मतम् ||४०||",,,
48,अथ कदलीपुष्पम्।  तस्य गुणानाह,कदलीपुष्पम्,,,"मधुर, तुवर","स्निग्ध, गुरु",शीत,,"वात-पित्तहर, रक्त-पित्त-क्षयप्रणुत्","कदल्याः कुसुमं स्निग्धं मधुरं तुवरं गुरु |

वातपित्तहरं शीतं रक्तपित्तक्षयप्रणुत् ||४१||",,,
49,अथ शिग्रोः मधुशिग्रोः च पुष्पम्।  तयोर्गुणानाह,शिग्रोः मधुशिग्रोः पुष्पम्,,,कटु,तीक्ष्ण,उष्ण,,"स्नायुशोथनुत्, कृमिहृत्, कफ-वातघ्न, विद्रधि-प्लीह-गुरुम-जित्, अक्षिहित, रक्त-पित्त-प्रसादन","मधुशिग्रु, शोभाञ्जनपुष्प

शिग्रोः पुष्पं तु कटुकं तीक्ष्णोष्णं स्नायुशोथकृत् |

कृमिहृत्कफवातघ्नं विद्रधिप्लीहगुल्मजित् |

मधु शिग्रोस्त्वक्षिहितं रक्तपित्तप्रसादनम् ||४२||",,,
50-51,अथ शाल्मलीपुष्पम्। तस्य गुणानाह,शाल्मलीपुष्पम्,,,"मधुर, कषाय,",गुरु,शीतल,मधुर,"कफपित्त अस्रजित्, ग्राहि, वातल","शाल्मलीपुष्पशाकं तु घृतसैन्धवसाधितम् |

प्रदरं नाशयत्येव दुःसाध्यं च न संशयः ||४३||

रसे पाके च मधुरं कषायं शीतलं गुरु |

कफपित्तास्रजिद् ग्राहि वातलं च प्रकीर्तितम् ||४४||",,,
52-54,अथ फलशाकानि।  तत्र कूष्माण्डम्। तस्य नामानि तद्बाल मध्यम वृद्धफलानां च गुणानाह,"फलशाकानि, कूष्माण्डम्",,"कूष्माण्ड, पुष्पफल, पीतपुष्प, बृहत्फल  ",स्वादु,", गुरु",शीत,,"बृंहण, वृष्य, पित्ता-अस्रवातनुत्,, ","कूष्माण्डं स्यात्पुष्पफलं पीतपुष्पं बृहत्फलम् |

कूष्माण्डं बृंहणं वृष्यं गुरु पित्तास्रवातनुत् |

बालं पित्तापहं शीतं मध्यमं कफकारकम् ||४५||

वृद्धं नातिहिमं स्वादु सक्षारं दीपनं लघु |

बस्तिशुद्धिकरं चेतोरोगहृत्सर्वदोषजित् ||४६||",,,
,,,बाल ,,,,शीत ,," बाल, पित्तापह",,,,
,,,मध्यम ,,,,,,"मध्यम, कफकारक, ",,,,
,,,वृद्ध ,,स्वादु ,लघु,,,"वृद्धंनातिहिम, सक्षार, दीपन, बस्तिशुद्धिकर, चेतोरोगहृत्, सर्वदोषजित्",,,,
55,अथ कूष्माण्डी। तस्य नामगुणानाह,कूष्माण्डी,,"कुष्माण्डी, कर्कारु ",,गुरु,शीता,,"ग्राहिणी, रक्त-पित्तहरा","कूष्माण्डी तु भृशं लघ्वी कर्कारुरपि कीर्तिता |

कर्कारुर्ग्राहिणी शीता रक्तपित्तहरा गुरुः |

पक्वा तिक्ताऽग्निजननी सक्षारा कफवातनुत् ||४७||",,,
,,,पक्वा,,तिक्त,,,,"अग्निजननी, सक्षारा, कफ-वातनुत्",,,,
56-57,अथ अलाबूर्दीर्घी वर्त्तुला च तस्या नामानि भेदांस्तत्फल गुणान् चाह,अलाबुः - दीर्घा वर्तुला च,,"अलाबू, तुम्बी ",,गुरु,,,"हृद्य, पित्त-श्लेष्मा-पह, वृष्य, रुचिकर, धातुपुष्टिविवर्धन","अलाबूः कथिता तुम्बी द्विधा दीर्घा च वर्तुला |

मिष्टतुम्बीफलं हृद्यं पित्तश्लेष्मापहं गुरु |

वृष्यं रुचिकरं प्रोक्तं धातुपुष्टिविवर्धनम् ||४८|||",,,
58,अथ कुटुतुम्बी। तस्य नामगुणानाह,कटुतुम्बी,,"इक्ष्वाकु, कटुतुम्बी, तुम्बी, महाफला ","तिक्ता, ,",,शीता,कटु,"हृद्या, पित्त-कास-विषापहा, वात-पित्त-ज्वरान्तकृत्","इक्ष्वाकुः कटुतुम्बी स्यात्सा तुम्बी च महाफला |

कटुतुम्बी हिमा हृद्या पित्तकासविषापहा |

तिक्ता कटुर्विपाके च वातपित्तज्वरान्तकृत् ||४९||",,,
59-60,अथ कर्कटी।  तस्या नामानि तत्पक्वापक्वफल गुणाँश्चाह,कर्कटी,,"एर्वारु, कर्कटी ",मधुरा,"रूक्षा, गुरु",शीतला,,"रुच्या, पित्तहरा, सामा, तृष्णाऽ-अग्नि-पित्तकृत्, ग्राहिणी","एर्वारुः कर्कटी प्रोक्ता कथ्यन्ते तद्गुणा अथ |

कर्कटी शीतला रूक्षा ग्राहिणी मधुरा गुरुः |

रुच्या पित्तहरा सामा पक्वा तृष्णाऽग्निपित्तकृत् ||५०||",,,
61,अथ चिचिण्डः।  तस्य नामानि गुणाँश्चाह,चिचिण्डः,,,,,,,"वात-पित्तघ्न, बल्य, पथ्य, रुचिप्रद, शोषण, अतिहित, गुणन्यून","चिचिण्डः श्वेतराजिः स्यात्सुदीर्घो गृहकूलकः |

चिचिण्डो वातपित्तघ्नो बल्यः पथ्यो रुचिप्रदः |

शोषणोऽतिहितः किञ्चिद् गुणैर्न्यूनः पटोलतः ||५१||",,,
62-63,अथ कारवेल्लं कारवेल्ली च।  तयोर्नामानि गुणाँश्चाह,कारवेल्लं कारवेल्ली च,,"कारवेल्ल, कठिल्ल, कारवेल्ली ",तिक्त,लघु,शीत,,"भेदि, अवातल, ज्वर-पित्त-कफा-अस्रघ्न, पाण्डु-मेह-कृमीहर, विशेषाद्दीपनी","कारवेल्लं कठिल्लं स्यात्कारवेल्ली ततो लघुः |

कारवेल्लं हिमं भेदि लघु तिक्तमवातलम् |

ज्वरपित्तकफास्रघ्नं पाण्डुमेहकृमीन्हरेत् |

तद्गुणा कारवेल्ली स्याद्विशेषाद्दीपनी लघुः ||५२||",,,
65-66,अथ महाकोशातकी। तस्या नामानि गुणाँश्चाह,महाकोशातकी,,"महाकोशातकी, हस्तिघोषा, महाफला, धामार्गव, घोषक, हस्तिपर्ण ",,स्निग्धा,,,रक्त-पित्ता-अनिलापहा,"महाकोशातकी प्रोक्ता हस्तिघोषा महाबला |

धामार्गवो घोषकश्च हस्तिपर्णश्च स स्मृतः |

महाकोशातकी स्निग्धा रक्तपित्तानिलापहा ||५३||",,,
66-67,अथ राजकोशातकी।  तस्या नामानि गुणाँश्चाह,राजकोशातकी,,"धामार्गव, पीतपुष्प, जालिनी, कृतवेधा, राजकोशातकी, राजिमस्फला  ",मधुरा,,शीता,,"कफ-वात-कृत्, पितघ्नी, दीपनी, श्वास-ज्वर-कास-कृमि-प्रणुत्","धामार्गवः पीतपुष्पो जालिनी कृतवेधना |

राजकोशातकी चेति तथोक्ता राजिमत्फला ||५४||

राजकोशातकी शीता मधुरा कफवातकृत् |

पित्तघ्नी दीपनी श्वासज्वरकासकृमिप्रणुत् ||५५||",,,
68-70,अथ पटोलः।  तस्य नामानि गुणाँश्चाह,पटोलः,,"पटोल, कुलक, तिक्त, पाण्डुक, कर्कशच्छद, राजीफल, पाण्डुफल, राजेय, अमृतफल, बीजगर्भ, प्रतीक, कुष्ठहा, कासभञ्जन  ",,"लघु, स्निग्ध",उष्ण,,"पाचन, हृद्य, वृष्य, अग्निदीपन, कासा-अस्र-ज्वर-दोषत्रय-क्रिमीहर","पटोलः कूलकस्तिक्तः पाण्डुकः कर्कशच्छदः |

राजीफलः पाण्डुफलो राजेयश्चामृतफलः |

बीजगर्भः प्रतीकश्च कुष्ठहा कासभञ्जनः ||५६||

पटोलं पाचनं हृद्यं वृष्यं लघ्वग्निदीपनम् |

स्निग्धोष्णं हन्ति कासास्रज्वरदोषत्रयक्रिमीन् ||५७||

",,,
71-72,अथ पटोलस्य मूल नाल पत्र फलानां गुणानाह,,,,,,,,मूलं विरेचनकर; नालं श्लेष्महर; पत्रं पित्तहारी; फलं दोषत्रयहर,"पटोलस्य भवेन्मूलं विरेचनकरं सुखात् |

नालं श्लेष्महरं पत्रं पित्तहारी फलं पुनः |

दोषत्रयहरं प्रोक्तं तद्वत्तिक्ता पटोलिका ||५८||",,,
73-74,अथ बिम्बी।  तस्या नामानि तत्फलगुणाँश्चाह,"बिम्बी (कुन्दुरी, कन्दूरी)",,"बिम्बी, रक्तफला, तुण्डी, तुण्डीकेरी, बिम्बिका, ओष्ठोपमफला, पीलुपर्णी  ",स्वादु,गुरु,शीत,,"पित्तास्रवातजित्, स्रंभन, लेखन, रुच्य, विबन्धाध्मानकारक","बिम्बी रक्तफला तुण्डी तुण्डीकेरी च बिम्बिका |

ओष्ठोपमफला प्रोक्ता पीलुपर्णी च कथ्यते ||५९||

बिम्बीफलं स्वादु शीतं गुरु पित्तास्रवातजित् |

स्तम्भनं लेखनं रुच्यं विबन्धाध्मानकारकम् ||६०||",,,
75,अथ शिम्बीः पुस्तशिम्बी च। तयोर्नामानि गुणाँश्चाह,शिम्बीः - पुस्तशिम्बी च,,"शिम्बी, पुस्तशिम्बि, पुस्तकशिम्बिका ",मधुर,गुरु,शीत,मधुर ,"बल्य, दाहकर, श्लेष्मल, वात-पित्तजित्","शिम्बिः शिम्बी पुस्तशिम्बी तथा पुस्तकशिम्बिका |

शिम्बीद्वयं च मधुरं रसे पाके हिमं गुरु |

बल्यं दाहकरं प्रोक्तं श्लेष्मलं वातपित्तजित् ||६१||",,,
76-77,अथ कोलशिम्बिः तस्या नामानि गुणाँश्चाह,कोलशिम्बिः,,"कोलशिम्बि, कृष्णफला, पर्यङ्कपट्टिका ",,गुरु,उष्ण,,"समीरघ्नी, कफ-पित्तकृत्, शुक्रा-अग्नि-सादकृत्, वृष्या, रुचिकृत्, बद्धविड्","
कोलशिम्बिः कृष्णफला तथा पर्यङ्कपट्टिका |

कोलशिम्बिः समीरघ्नी गुर्व्युष्णा कफपित्तकृत् |

शुक्राग्निसादकृत् वृष्या रुचिकृद् बद्धविड्गुरुः ||६२||",,,
78,अथ शोभाञ्जनफलम्।  तस्या गुणानाह,शोभाञ्जनफलम्,,,"स्वादु, कषाय",,,,"कफपित्तनुत्, शूल-कुष्ठ-क्षय-श्वास-गुल्महृत्, दीपन","फलं सौभाञ्जनं स्वादु कषायं कफपित्तनुत् |

शूलकुष्ठक्षयश्वासगुल्महृद् दीपनं परम् ||६३||",,,
